John,Johnson,5th Street,23110,Flintsone,john@mail.com,232-2345540
Mary,Philips,Hill Street 3,23322,Flintsone,m.philips@mail.com,232-310122
Dan,Davidson,32 Main Road,23130,Flintsone,dan.d@mail.com,232-1227006
Erick,Wilfrid,71 Pilgrim Avenue,23130,Flintsone,ewilf@mail.com,232-1227006
Tylar,Orrell,70 Bowman Street,23000,Flintsone,t.orrell@mail.com,232-1227006
Sally,Gareth,4 Goldfield Road,22722,Flintsone,s.gareth@mail.com,232-1227006
Roseanne,Kimball,13 Goldfield Road,22712,Flintsone,kimball@mail.com,232-457133
Leyla,Elsi,41 Main Road,23130,Flintsone,l.elsie@mail.com,232-457133
Kevin,Dublin,2 Main Street,20010,Flintsone,k.dublin@mail.com,232-147127
Laura,Jones,34 Venice Street,20010,Flintsone,laura.jones@mail.com,232-133147
Janet,Jones,31 Fifth Street,20010,Flintsone,janet.j@mail.com,232-457110
Tina,Dublin,2 Main Street,20010,Flintsone,t.dublin@mail.com,232-211555
Tim,Morrison,15 Main Boulevard,33106,Flintsone,t.morrison@mail.com,232-770560
Mike,Ross,14 Main Street,20010,Flintsone,mike.r@mail.com,232-512123
Lisa,Hurley,1 Lake Road,20010,Flintsone,lisa.h@mail.com,232-314330

Testi,testi,Testikatu 12,00330,helsinki,testi,7868
Testi,testi,Testikatu 12,00330,helsinki,testi,7868
